model,description,metric,metric_code,value,rating,link
OAG-AD-16919718,Civic - 2014 Honda Civic VTi Auto,price,price,15990,1.62,https://www.carsales.com.au/cars/details/Honda-Civic-2014/OAG-AD-16919718/?Cr=1
OAG-AD-16919718,Civic - 2014 Honda Civic VTi Auto,milage,milage,37596,1.62,https://www.carsales.com.au/cars/details/Honda-Civic-2014/OAG-AD-16919718/?Cr=1
OAG-AD-16919718,Civic - 2014 Honda Civic VTi Auto,age,age,5,1.62,https://www.carsales.com.au/cars/details/Honda-Civic-2014/OAG-AD-16919718/?Cr=1
OAG-AD-17199410,Civic - 2018 Honda Civic VTi-S Auto,price,price,24990,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17199410/?Cr=5
OAG-AD-17199410,Civic - 2018 Honda Civic VTi-S Auto,milage,milage,2019,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17199410/?Cr=5
OAG-AD-17199410,Civic - 2018 Honda Civic VTi-S Auto,age,age,1,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17199410/?Cr=5
OAG-AD-17088443,Civic - 2018 Honda Civic VTi-S Auto,price,price,24990,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17088443/?Cr=0
OAG-AD-17088443,Civic - 2018 Honda Civic VTi-S Auto,milage,milage,2056,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17088443/?Cr=0
OAG-AD-17088443,Civic - 2018 Honda Civic VTi-S Auto,age,age,1,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17088443/?Cr=0
OAG-AD-17088444,Civic - 2018 Honda Civic VTi-S Auto,price,price,24990,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17088444/?gts=OAG-AD-17088444&gtssaleid=OAG-AD-17088444&rankingType=Showcase
OAG-AD-17088444,Civic - 2018 Honda Civic VTi-S Auto,milage,milage,2056,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17088444/?gts=OAG-AD-17088444&gtssaleid=OAG-AD-17088444&rankingType=Showcase
OAG-AD-17088444,Civic - 2018 Honda Civic VTi-S Auto,age,age,1,0.70,https://www.carsales.com.au/cars/details/Honda-Civic-2018/OAG-AD-17088444/?gts=OAG-AD-17088444&gtssaleid=OAG-AD-17088444&rankingType=Showcase
SHRM-AD-5780945,Civic - 2018 Honda Civic VTi Auto,price,price,25565,0.58,https://www.carsales.com.au/cars/details/Honda-Civic-2018/SHRM-AD-5780945/?Cr=1
SHRM-AD-5780945,Civic - 2018 Honda Civic VTi Auto,milage,milage,0,0.58,https://www.carsales.com.au/cars/details/Honda-Civic-2018/SHRM-AD-5780945/?Cr=1
SHRM-AD-5780945,Civic - 2018 Honda Civic VTi Auto,age,age,1,0.58,https://www.carsales.com.au/cars/details/Honda-Civic-2018/SHRM-AD-5780945/?Cr=1
SHRM-AD-5780931,Civic - 2018 Honda Civic VTi Auto,price,price,25565,0.58,https://www.carsales.com.au/cars/details/Honda-Civic-2018/SHRM-AD-5780931/?gts=SHRM-AD-5780931&gtssaleid=SHRM-AD-5780931&rankingType=TopSpot
SHRM-AD-5780931,Civic - 2018 Honda Civic VTi Auto,milage,milage,0,0.58,https://www.carsales.com.au/cars/details/Honda-Civic-2018/SHRM-AD-5780931/?gts=SHRM-AD-5780931&gtssaleid=SHRM-AD-5780931&rankingType=TopSpot
SHRM-AD-5780931,Civic - 2018 Honda Civic VTi Auto,age,age,1,0.58,https://www.carsales.com.au/cars/details/Honda-Civic-2018/SHRM-AD-5780931/?gts=SHRM-AD-5780931&gtssaleid=SHRM-AD-5780931&rankingType=TopSpot
OAG-AD-17120595,Civic - 2007 Honda Civic VTi-L Auto,price,price,8999,0.28,https://www.carsales.com.au/cars/details/Honda-Civic-2007/OAG-AD-17120595/?Cr=3
OAG-AD-17120595,Civic - 2007 Honda Civic VTi-L Auto,milage,milage,96050,0.28,https://www.carsales.com.au/cars/details/Honda-Civic-2007/OAG-AD-17120595/?Cr=3
OAG-AD-17120595,Civic - 2007 Honda Civic VTi-L Auto,age,age,12,0.28,https://www.carsales.com.au/cars/details/Honda-Civic-2007/OAG-AD-17120595/?Cr=3
SSE-AD-6109595,Civic - 2008 Honda Civic VTi Auto,price,price,8750,-0.06,https://www.carsales.com.au/cars/details/Honda-Civic-2008/SSE-AD-6109595/?gts=SSE-AD-6109595&gtssaleid=SSE-AD-6109595&rankingType=Spotlight
SSE-AD-6109595,Civic - 2008 Honda Civic VTi Auto,milage,milage,113183,-0.06,https://www.carsales.com.au/cars/details/Honda-Civic-2008/SSE-AD-6109595/?gts=SSE-AD-6109595&gtssaleid=SSE-AD-6109595&rankingType=Spotlight
